objectid,facilityid,name,length,width,surftype,hiking,mtbcycle,roadcycle,equestrian,ski,snowmobile,motorcycle,atv,mtrvehicle,skilllevel,condition,ownedby,maintby,status,trail_type,slope,created_user,last_edited_user,county,council_district,last_edited_date,created_date,installdate,shape_Length
319,4523,Mission Park,587.99534119,,,,,,,,,,,,,,,,Existing,Multi-Use,,JECHEZEM,jechezem,Douglas,,2022/12/08 14:07:59+00,2019/03/19 20:02:45+00,,587.803026149417
320,3501,Oak,2584.90559717,, , , , , , , , , , , , ,,,,,,GIS,jechezem,Sarpy,,2022/12/08 14:10:30+00,2017/04/01 01:10:23+00,,2584.06505020355
321,158,144th Street South,751.66127998,,,,,,,,,,,,,,,,Existing,Multi-Use,,jechezem,jechezem,Douglas,,2022/12/08 14:07:59+00,2022/12/08 14:01:24+00,,751.412940369218
322,271,,1137.29877518,,,,,,,,,,,,,,,,Proposed,Multi-Use,,GIS,jechezem,Douglas,,2022/12/08 14:07:59+00,2014/12/22 20:53:21+00,,1136.91555028842
323,3505,Mormon Hollow,3694.47681813,, , , , , , , , , , , , ,,,,,,GIS,jechezem,Sarpy,,2022/12/08 14:10:30+00,2017/04/01 01:10:23+00,,3693.27981824151
324,7732,,429.88233503,,,,,,,,,,,,,,,,Proposed,,,jechezem,jechezem,Douglas,,2022/12/08 14:07:59+00,2021/08/26 12:13:27+00,,429.750415364763
325,3987,,4064.35278894,,,,,,,,,,,,,,,,Proposed,,,gis,jechezem,Douglas,,2022/12/08 14:07:59+00,2017/05/16 00:27:41+00,,4062.99647690935
326,3547, ,554.64800484,, , , , , , , , , , , , ,,,,,,GIS,jechezem,Sarpy,,2022/12/08 14:10:30+00,2017/04/01 01:10:23+00,,554.469157336273
327,3898,,5701.16434371,,,,,,,,,,,,,,,,Proposed,,,gis,jechezem,Douglas,,2022/12/08 14:07:59+00,2017/05/15 20:32:11+00,,5699.26780855645
328,,,70.38755632,,,,Yes,,,,,,,,,,,,Existing,,,jechezem,jechezem,,,2022/12/08 13:51:30+00,2022/12/06 15:55:10+00,,70.3638293399755
329,3521,Fontanelle Forest - Unnamed,546.22928696,, , , , , , , , , , , , ,,,,,,GIS,jechezem,Sarpy,,2022/12/08 14:10:30+00,2017/04/01 01:10:23+00,,546.051279622448
330,12132,Hummel Stairs,441.40672473,,,Yes,No,No,No,No,No,No,No,No,Intermediate,,,,Existing,Park Trail,,jechezem,jechezem,Douglas,,2022/12/08 14:07:59+00,2022/12/06 20:59:44+00,,441.274224047094
331,4110,,2396.3420761,,,,,,,,,,,,,,,,Proposed,,,gis,jechezem,Douglas,,2022/12/08 14:07:59+00,2017/05/16 02:28:19+00,,2395.53455753383
332,4056,Lake Zorinsky Trail,88.34151167,,,,,,,,,,,,,,,,Existing,,,gis,jechezem,,,2022/12/08 13:50:47+00,2017/05/15 20:15:16+00,,88.3125353359213
333,3510,Walking Club,3156.31935606,, , , , , , , , , , , , ,,,,,,GIS,jechezem,Sarpy,,2022/12/08 14:10:30+00,2017/04/01 01:10:23+00,,3155.29230137573
334,4100,,5252.49758906,,,,,,,,,,,,,,,,Proposed,,,gis,jechezem,Douglas,,2022/12/08 14:07:59+00,2017/05/13 02:31:10+00,,5250.75039187195
335,3525,Gifford Memorial Boardwalk,1573.62118439,, , , , , , , , , , , , ,,,,,,GIS,jechezem,Sarpy,,2022/12/08 14:10:30+00,2017/04/01 01:10:23+00,,1573.11004082663
336,,,164.64749192,,,,Yes,,,,,,,,,,,,Existing,,,jechezem,jechezem,Douglas,,2022/12/08 14:07:59+00,2022/12/06 15:56:59+00,,164.594459803707
337,3990,Lake Zorinsky Trail,136.46255414,,,,,,,,,,,,,,,,Existing,,,gis,jechezem,,,2022/12/08 13:50:25+00,2017/05/15 19:39:04+00,,136.41763345906
338,69,Riverfront Trail,18566.68113677,,,,,,,,,,,,,,,,Existing,Multi-Use,,MLSCHONLAU,jechezem,Douglas,,2022/12/08 14:07:59+00,2014/12/04 22:33:40+00,,18560.5025097948
